YEAR,BUYING_DEALER,TOKEN_DONE,SUM_BID_AT_BOUGHT,AVG_BID_AT_BOUGHT,RECENT_BUY_DATE
2021,60127,35,2865855,81881.6,2021-12-25
2021,76407,23,4160015,180870.2,2021-12-21
2017,21664,22,5456150,248006.8,2017-12-11
2023,112379,14,3045200,217514.3,2023-12-16
2020,57129,31,8777926,283158.9,2020-12-25
2021,57855,17,7137234,419837.3,2021-12-21
2021,73236,23,5274297,229317.3,2021-12-20
2022,108437,2,486700,243350.0,2022-08-31
2019,59072,67,11108410,165797.2,2019-10-09
2023,70152,23,4582548,199241.2,2023-09-03
2020,64084,20,4967129,248356.5,2020-10-27
2020,75604,1,124000,124000.0,2020-03-09
2022,77123,52,7789419,149796.5,2022-12-20
2020,57598,48,10967040,228480.0,2020-12-03
2020,55168,16,3520473,220029.6,2020-12-13
2020,57416,27,2044592,75725.6,2020-12-31
2022,109479,8,4335180,541897.5,2022-12-27
2021,92094,4,857800,214450.0,2021-12-26
2019,68286,30,5138099,171270.0,2019-12-30
2022,74321,7,3183960,454851.4,2022-11-12
2022,111282,9,916576,101841.8,2022-12-20
2024,63157,12,4002700,333558.3,2024-05-08
2022,81559,13,3411459,262419.9,2022-12-15
